ID	Source	Direction	Target	Status	Contributor	Shift Type	Language	Language ID	Lexeme	Source/Sense1	Target/Sense2	Reference	Comments	Contributor
702	entirely	—	separately	Suspended	TM	Polysemy	Aghul	aghu1253	k'ildi	 'separately, alone' 	'fully, totally' 	 	 (Sulejmanov 2003). Derived from the noun КIИЛ 'head', i.e. roughly means 'by means of (one) head'.	 TM
703	juice	—	benefit	New	TM	Polysemy	Aghul	aghu1253	mufiʡat // mufeʕat	 'juice, nectar' 	'use, profit' 	 	 (Sulejmanov 2003)	 TM
704	iron	—	ice-crusted ground	New	TM	Polysemy	Aghul	aghu1253	ruq'	 'iron' 	'ice slick' 	 	 (Sulejmanov 2003). Homonymy cannot be excluded.	 TM
705	seed (n.)	—	tribe	New	TM	Polysemy	Aghul	aghu1253	tum	 'seed, seeds' 	'kindred, tribe' 	 	 (Sulejmanov 2003)	 TM
706	bow (weapon)	—	clavicle	Suspended	TM	Polysemy	Aghul	aghu1253	tːakːra	 'bow (arm)' 	'collar bone' 	 	 In the Tpig dialect (Sulejmanov 2003).	 TM
707	strong (of liquid or smell)	—	hot-tempered	Suspended	TM	Polysemy	Aghul	aghu1253	tunf // tunt	 'strong (alcoholic drinks, tobacco)' 	'hot-tempered' 	 	 (Sulejmanov 2003). The same in the Lezgian ТЬУНТ (LezgRus 320), Tabassaran ТЮНТ (TabRus 284).	 TM
708	stick (n.)	—	habit	Suspended	TM	Polysemy	Aghul	aghu1253	t'ul	 'cane, whip' 	'habit, trait' 	 	 (Sulejmanov 2003). The same in Tsbassaran (TabRus 289).	 TM
709	to burn (intr.)	→	to itch	Suspended	TM	Polysemy	Aghul	aghu1253	ugas	 'to burn' 	'to itch' 	 	 (Sulejmanov 2003). Cf. the Tabassaran УГАЛ 'itching', from the root meaning 'burn' (TabRus 292).	 TM
710	ahead	—	before	Accepted	TM	Polysemy	Jarawara	jama1261	nokosi//nokosi	 'in front of' 	'before' 	 	 JED 141.	 IG
711	to stick (to a surface), to adhere	—	to fight, scuffle	Accepted	TM	Polysemy	Tabassaran	taba1259	alabsub // alarsub	 'to stick to the top' 	'to strike from upside' 	 	 (TabRus 53)	 TM
712	behind	—	after	Accepted	TM	Polysemy	Lezgian	lezg1247	q’uluq	 'behind' 	'after' 	 	 (LezgRus 207). The same in the Tabassaran КЪЯЛЯХЪНА, cf. (TabRus 211).	 TM
713	line	—	handwriting	Suspended	TM	Polysemy	Aghul	aghu1253	χat'	 'line' 	'handwriting' 	 	 (Sulejmanov 2003)	 TM
714	wing	—	spoke	Suspended	TM	Polysemy	Aghul	aghu1253	χil // χir	 'wing' 	'arm (wheel)' 	 	 (Sulejmanov 2003). Homonymy cannot be excluded.	 TM
715	big	—	elder	Accepted	TM	Polysemy	Classical Arabic	stan1318	kabīr-	 'big' 	'old, advanced in age' 	 	 Lane 2586	 MB
716	big	→	chief (n.)	Suspended	TM	Polysemy	Lezgian	lezg1247	č’eχi	 'big, elder, adult' 	'chief, leader' 	 	 (LezgRus 378)	 TM
717	firm, solid	—	greedy	Accepted	TM	Polysemy	Classical Arabic	stan1318	ṣaluba	 'to be hard, firm, rigid, stiff, tough, strong, robust, sturdy' 	'to be mean' 	 Lane 1711	 Meaning A is rather 'hard, solid'.	 MB
718	firm, solid	—	strong (of liquid or smell)	Accepted	TM	Polysemy	Russian	russ1263	krepkij	 'strong, firm' 	'drastic, potent' 	 	 (Ushakov)	 TM
719	firm, solid	—	loud	New	TM	Polysemy	Tabassaran	taba1259	ižmi	 'hard, firm, solid' 	'strong (fig.)' 	 	 (TabRus 173)	 TM
720	firm, solid	→	closed	New	TM	Polysemy	Lezgian	lezg1247	k’ewi	 'strong, solid' 	'closed' 	 	 (LezgRus 215-216). Cf. кIеви авун 'to make firm, solid' + 'to close', кIеви хьун 'to become firm, solid' + 'to close, intr.': also, the verb кIевун 'to close, cover, hide'.	 TM
721	nap, shag (of a carpet)	—	leafy tops of root vegetables	Suspended	TM	Polysemy	Aghul	aghu1253	č'ič'	 'fluff, hair' 	'wart on an eyelid' 	 	 (Sulejmanov 2003)	 TM
722	glass (material)	—	bottle	New	TM	Polysemy	Aghul	aghu1253	šüša // šuša	 'glass' 	'bottle' 	 	 (Sulejmanov 2003). The same in the Lezgian ШЬУШЕ (LezgRus 388) and the Tabassaran ШЮШЕ (TabRus 352).	 TM
723	evil (adj.)	—	strong	Suspended	TM	Polysemy	Aghul	aghu1253	ʡajef	 'wicked' 	'strong, jerky' 	 	 (Sulejmanov 2003). The adverb Ъ`АЙИ derived from 'wicked, evil' is used as an intensifier 'fast, strong: very'.	 TM
724	cavity, hollow	—	armpit	Suspended	TM	Polysemy	Geez	geez1241	ḥəḍn	 'cavity' 	'armpit' 	 	 (LLA 137-138, LGz. 226): not quite certain: the meaning B is only recorded in a Geez-Amharic glossary.	 MB
725	shoulder	—	hill	Suspended	TM	Polysemy	Ingush	ingu1240	balam	 'shoulder' 	'hill' 	 	 (Kurkiev 2004: 43)	 TM
726	to turn round	—	to heal (of a wound)	Suspended	TM	Polysemy	Ingush	ingu1240	berza	 'to turn' 	'to heal (wound)' 	 	 (Kurkiev 2004: 57). Cf. БЕРЗАБЕ 'to turn' and 'to heal'. With other class prefixes: ВЕРЗА 'to be healed, to get better' and 'to turn' (p. 87): ЕРЗА 'to recover' and 'to turn round, intr.' (p. 185).	 TM
727	to fall down	—	to harness	Suspended	TM	Polysemy	Ingush	ingu1240	boža	 'to fall' 	'to yoke, to harness' 	 	 (Kurkiev 2004: 66). Cf.also ДОЖА 'to fall down' and 'to harness' (p. 159): ЙОЖА 'to drop' and 'to harness' (p. 209).	 TM
728	bottom	—	buttock	Accepted	TM	Polysemy	Chaha	seba1251	ḳ’ən	 'bottom of a thing' 	'podex, anus, buttocks' 	 	 (LGur. I 96).	 MB
729	to measure	—	to imitate	Suspended	TM	Polysemy	Ingush	ingu1240	wista	 'to measure' 	'to imitate' 	 	 (Kurkiev 2004: 89)	 TM
730	chopped billet	—	executioner's block	Suspended	TM	Polysemy	Ingush	ingu1240	gar	 'log' 	'block, scaffold' 	 	 (Kurkiev 2004: 100)	 TM
731	bead	—	spider	Suspended	TM	Polysemy	Ingush	ingu1240	gizg	 'bead' 	'spider' 	 	 (Kurkiev 2004: 106)	 TM
732	circle	—	knee	Accepted	TM	Polysemy	Ingush	ingu1240	go	 'ring, rim, cordon' 	'knee' 	 	 (Kurkiev 2004: 107)	 TM
733	curved	—	wrong	Accepted	TM	Polysemy	Lak	lakk1252	awkːusːa	 'crooked, gnarled' 	'wrong, unjust' 	 	 (Khajdakov 1962: 26)	 TM
734	trunk (body part)	—	wall	Suspended	TM	Polysemy	Ingush	ingu1240	ʁow	 'torso, figure (human), stature' 	'wall' 	 	 (Kurkiev 2004: 122)	 TM
735	to rotate (tr.)	—	to castrate, geld	Accepted	TM	Polysemy	Ingush	ingu1240	daʕa	 'to wring, to twist' 	'to castrate' 	 	 (Kurkiev 2004: 135)	 TM
736	heavy (of weight)	—	expensive	Accepted	TM	Polysemy	Turkish	nucl1301	ağır	 'heavy' 	'expensive, valuable' 	 	 ТРС 28. The same in Yakut. Ыар (ЯРС 520).	 IG
737	to beat, hit	—	to milk	Suspended	TM	Polysemy	Ingush	ingu1240	detːa	 'to beat' 	'to milk' 	 	 (Kurkiev 2004: 144)	 TM
738	to lead	—	to behave	Accepted	MB	Derivation	Russian	russ1263	vesti	 'to lead, to guide'  		 	 French calque	 IG
739	to lead	—	to govern, control, rule	Accepted	MB	Polysemy	English	stan1293	lead	 'to lead, to conduct' 	'to lead, to rule' 	 	 	 MB
740	to lead	→	to cause	Accepted	MB	Derivation	French	stan1290	mener	 'to lead, to conduct' → 		 	 	 IG
741	branch, twig	—	tribe	Accepted	MB	Polysemy	Hungarian	hung1274	ag	 'knot' 	'clan branch' 	 	 	 MR
742	above	→	additional	Accepted	MB	Polysemy	Akkadian	akka1240	elēn, elēnu	 'on top' 	'besides' 	 	 Cf. Also ela^tu 'upper part: upper world: top price: additional share, additional expenses, upward adjustment'	 MB
743	to weigh (intr.)	→	to think	Accepted	MB	Semantic evolution	Latin	lati1261	pendere	 'to weight (objects)'   French 		 	 Glare 1322-1323	 IG
744	tongue (body part)	—	speech	Accepted	MB	Polysemy	Tagalog	taga1270	dilà	 'tongue' 	'language, speech' 	 	 Таг 110	 MR
745	to disappear	—	to die, pass away	Accepted	MB	Polysemy	Tabassaran	taba1259	kečmiš xub	 'to pass by (time)' 	'to die' 	 	 (TabRus 193)	 TM
746	to see/to look at	—	to understand	Accepted	MB	Polysemy	Akkadian	akka1240	amāru	 'to see, behold, look at' 	'to come to know, realize, to learn by experience' 	 	 (CAD AII 5)	 MB
747	to see/to look at	→	to receive visitors	Suspended	MB	Polysemy	Quechua	quec1387	qawa-	 'watch, see' 	'visit' 	 	 Haser 2000, 177	 MR
748	road	—	manner, way	Accepted	MB	Polysemy	Russian	russ1263	put'	 'road, beaten track, walking path' 	'means, manner of achieving smth, direction' 	 	 (Dal')	 TM
749	to blow	—	to breathe	Accepted	MB	Derivation	Classical Arabic	stan1318	rāḥa	 'to blow (wind)' → 		 BK I 945-46: Lane 1179: TA II 153	 	 MB
750	to search, to look for	—	to want	Accepted	MB	Polysemy	Tigrinya	tigr1271	däläyä	 'to want, to wish, to desire' 	'to look for, seek, search (for), ferret out' 	 	 (KT 2050).	 MB
751	leaf	—	sheet of paper	Accepted	MB	Polysemy	Farsi	fars1255	бäрг	 'tree leaf' 	'sheet of paper' 	 	 ПРС 116.	 IG
752	to carry	→	to endure	Accepted	MB	Polysemy	Armenian	nucl1235	krel	 'to carry' 	'to suffer, to undergo' 	 	 АрмРС 369	 MR
753	to raise, lift (tr.)	—	to finish	New	MB	Polysemy	German	stan1295	aufheben	 'to lift [НЕМ 93]' 	'to stop, to finish' 	 	 	 MB
754	to bend, bow (intr.)	→	to be disposed towards	Accepted	MB	Derivation	Russian	russ1263	naklonjat'sja	 'to bend' → 		 	 	 AZ
755	spot, stain	→	place	Accepted	MB	Derivation	Classical Arabic	stan1318	ʔabḳaʕ-	 'black and white'  		 Lane 235, BK I 150	 Lexeme buḳʕat- apparently originally meant 'a stain', cf. Contexts where meanings A and B are combined: fī l-ʔarḍ-I buḳaʕ-u min nabt-in 'in the land are small portions of herbage'	 MB
756	to sit	—	to inhabit, live	Accepted	MB	Polysemy	Serbo-Croatian	out1528 	sedeti	 'to sit' 	'to live, to reside' 	 	 Толстой 539	 DG
757	to go astray	—	to err, be wrong	Accepted	MB	Polysemy	Ancient Greek	anci1242	πλάνη	 'wandering' 	'fallacy' 	 	 	 MR
758	to fill (tr.)	→	to carry out	Accepted	MB	Polysemy	Sanskrit	sans1269	pūrtá	 'full, filled' 	'fulfilled' 	 	 Кочергина 403	 MR
759	to turn, rotate (intr.)	→	to feel dizzy	Accepted	MB	Polysemy	Geez	geez1241	ʔankolala	 'to spin, to roll [LGz. 283]' 	'to feel dizzy' 	 	 In Ge'ez it can be presumably both transitive and intransitive.	 MB
760	paint, dye (n.)	→	colour	Accepted	MB	Polysemy	Lezgian	lezg1247	rang	 'paint, dye' 	'colour' 	 	 (LezgRus 272). The same in Tabassaran (TabRus 257), where meaning B goes first.	 TM
761	to braid, plait, weave	—	to tell lie	Accepted	MB	Polysemy	Geez	geez1241	ḥabala	 'to tie, to plait' 	'to lie, to deceive [LGz.223]' 	 	 Cf. Arb. Habala 'prendre (une be^te) au filet: tendre les filets: serrer avec une corde', habl- 'corde, ca^blee, lien' [BK I 370]	 MB
762	to taste	—	to feel (an emotion)	Accepted	MB	Polysemy	Italian	ital1282	assaggiare	 'to try' 	'to feel, to experience' 	 	 	 MR
763	sour	→	angry	Accepted	MB	Polysemy	German	stan1295	sauer	 'sour'  		 	 In the same way Icel. Súr (Берков)	 MB
764	bitter	—	sorrowful	Accepted	MB	Polysemy	Swahili	swah1253	uchungu	 'bitterness, bitter taste' 	'bitterness, pain, disappointment (fig.)' 	 	 Also about physical pain - see 2575. Polikanov	 MR
765	bitter	→	angry	Accepted	MB	Polysemy	Swahili	swah1253	uchungu	 'bitterness, bitter taste' 	'rage' 	 	 Polikanov	 MR
766	brilliant, glaring	↔	white	Accepted	MB	Polysemy	Tigrinya	tigr1271	baʕ bälä	 'to become bright, light (place originally dark), to blaze' 	'to be white, very clean (garment)' 	 KT 1177	 	 MB
767	dark (adj.)	→	incomprehensible	Accepted	MB	Cognates	Akkadian	akka1240	ekēlu	 'to be dark'   Arabic 	to be dark	 	 CAD E 64, BK I 470, Lane 616	 MB
768	white	—	clean (adj.)	Accepted	MB	Cognates	Amharic	amha1245	näč̣č̣	 'white (K 1070)'  — Geez 	white (K 1070)	 	 	 MB
769	brilliant, glaring	—	glad	Accepted	MB	Polysemy	Yakut	yaku1245	дьаралык	 'glitter, shine' 	'delight, joy' 	 	 	 MR
770	to wet, moisten	—	to dye	Accepted	MB	Polysemy	Ancient Greek	anci1242	βάπτω	 'to plunge, to immerse' 	'to dip into dye > to dye' 	 LSJ 306	 	 IG
771	to throw	→	to accuse, blame	Accepted	MB	Polysemy	German	stan1295	vorwerfen	 'to throw forwards' 	'to accuse' 	 	 Cp. German werfen 'to throw'.	 MB
772	to shine, glitter	→	to become visible	Accepted	MB	Polysemy	Classical Arabic	stan1318	lāḥa	 'to glitter, to glisten' 	'to appear [Lane 2679]' 	 	 Cf. Modern standard Arabic: kullamā lāḥa ʔabūhā ʔasmaʕu 'each time her father shows up, I hear ...'	 MB
773	to shine, glitter	—	to see/to look at	Accepted	MB	Polysemy	Classical Arabic	stan1318	lamaḥa	 'to glitter ' 	'to look' 	 Lane 2672	 	 MB
774	to know	—	to copulate	Accepted	MB	Polysemy	Ancient Hebrew	anci1244	ydʕ	 'to know, to learn (HALAT 373-374)' 	'to have sexual relationship with smn (HALAT 373-374)' 	 	 	 MB
775	to cut (tr.)	→	to decide	Accepted	MB	Derivation	Serbo-Croatian	out1528 	lučiti	 'separate' — 		 	 Buck 1429 МОЖЕТ БЫТЬ В ОТДЕЛЬНЫЙ ПЕРЕХОД? РАЗДЕЛЯТЬ И РЕЗАТЬ - РАЗНЫЕ ЗНАЧЕНИЯ МБ	 MR
776	womb	—	to feel pity	Accepted	MB	Derivation	Classical Arabic	stan1318	raḥim-, riḥm-	 'uterus, womb' — 		 BK 1:838, Lane 1055-56. 	 	 Kogan - Militarev 2003.
777	nose	—	end	New	MB	Polysemy	Tibetan	tibe1272	sna	 'nose' 	'end, edge' 	 	 Рерих V, 141.	 IG
778	bone	→	great	New	MB	Derivation	Classical Arabic	stan1318	ʕaẓm-	 'bone' — 		 BK I 293. 	 	 MB
779	joint, articulation	→	tribe	Accepted	MB	Polysemy	Karaim	kara1464	бувум	 'joint (anat)' 	'family' 	 	 КРПС 135.	 IG
780	to judge	→	to govern, control, rule	Accepted	MB	Polysemy	Classical Arabic	stan1318	ḥakama	 ''to judge, decide judicially'' 	''to exercise judicial authority, jurisdiction,' 	 	 Lane 616	 MB
781	to burn (intr.)	→	angry	Accepted	MB	Polysemy	Turkish	nucl1301	alevlen-	 'to catch fire, to ignite' 	'to get agitated, irritated' 	 	 ТуРС 46.	 IG
782	brilliant, glaring	—	clever	Accepted	MB	Polysemy	Syriac	clas1252	nahir	 'light, bright, shining, clear' 	''enlightened, wise, far-seeing, clear-sighted'' 	 	 Payne Smith 329	 MB
783	to fall asleep	→	to die, pass away	Accepted	MB	Polysemy	Romanian	oma1329 	a adormi	 'to fall aspleep' 	'to die (fig.)' 	 	 DRRS 1, 39, DEX98	 MR
784	honey	→	sweet (taste)	New	MB	Derivation	Akkadian	akka1240	dišpu	 ''honey''  		 	 (CAD D 161, 120)	 MB
785	to press down	—	to oppress	Accepted	MB	Polysemy	Lezgian	lezg1247	ezmišun	 'to press, to wring, to squeeze' 	'to suppress, to conquer' 	 	 (LezgRus 390)	 TM
786	to breathe	→	wind	Accepted	MB	Polysemy	Akkadian	akka1240	šāru	 ''breath, emanation'' 	''wind'' 	 	 CAD SHII: 133, 134, 138	 MB
787	soft (adj.)	—	smooth	New	MB	Polysemy	Norwegian	norw1258	bløt	 'soft' 	'smooth' 	 	 Аракин 2000(1): 120	 DG
788	moist, humid	—	good	New	MB	Polysemy	Tigrinya	tigr1271	rəḥus	 'moist, damp, muggy' 	'rich, prosperous, blessed' 	 	 (KT 541)	 MB
789	hard, solid	↔	strong	Accepted	MB	Polysemy	Sanskrit	sans1269	dṛḍha	 'strong' 	'strong, solid' 	 	 Кочергина 283	 MR
790	flat (adj)	→	simple	Accepted	MB	Polysemy	Classical Arabic	stan1318	basīṭ-	 'expanded and even, wide, spacious' 	'simple' 	 	 (BK I 126: Lane 204)	 MB
791	dry	→	obstinate	New	MB	Polysemy	Amharic	amha1245	däräḳ	 ''dry, dried, dried-out'' 	''stubborn, persistent (person)'' 	 	 (K 1744): сf. also Tigrinya.däräḳ 'dry, arid, stony (soil), dry (grain): unyielding, stubborn' (KT 2079)	 MB
792	deaf	—	stupid	Accepted	MB	Polysemy	Kayardild	kaya1319	dunbuwa marralda	 'deaf' 	'stupid' 	 	 Haser 2000, 179	 MR
793	hard, solid	→	persistent	Accepted	MB	Polysemy	Classical Arabic	stan1318	ṣulb-	 'hard, firm, rigid' 	'sturdy, firm' 	 Lane 1712.	 	 MB
794	dry	—	lean	Accepted	MB	Polysemy	Swahili	swah1253	nywea	 'to dry, to wither' 	'to lose weight' 	 	 Polikanov	 MR
795	time	→	one time, once	New	MB	Polysemy	Amharic	amha1245	gize	 'time, period' 	'time, occasion, moment' 	 Leslau 1973:1345, K 2025	 	 MB
796	to carry	—	pregnant	Accepted	MB	Semantic evolution	Old High German	stan1295	tragan	 'to carry' 	Dutch 	 Buck 284	 	 MR
797	healthy	—	correct (adj.)	Accepted	MB	Cognates	Russian	russ1263	zdorovyj	 'healthy'  — Russian 	healthy	 	 	 MB
798	taste	→	mind (n.)	New	MB	Polysemy	Ancient Hebrew	anci1244	ṭaʕam	 'taste' 	'undestanding, intelligence' 	 	 (HALAT 361)	 MB
799	ant	—	to grow numb	New	MB	Derivation	Classical Arabic	stan1318	naml-	 'ants'  		 BK II 1349	 	 MB
800	soot	↔	black	New	MB	Derivation	Wolane	wola1253	ṭəlim	 ''soot of pots''  		 	" LGur. 618. The meaning of ""carbon black"" is present in a number of other Gurage languages, but the development is ""black"" > ""carbon black"", as the colour word can be traced back to the Protosemitic."	 MB
801	blood	↔	red	Accepted	MB	Derivation	Evenki	even1260	sēkse	 'blood' → 		 	 ТМС 2, 136, 138	 MR
802	green	↔	vegetation	Accepted	MB	Derivation	Geez	geez1241	ḥamalmil	 'green, verdant'  		 LGz. 233: LLA 70-71.	 	 MB
803	leaf	↔	green	Accepted	MB	Derivation	Evenki	even1260	абданна	 'leaf (plant)' → 		 	 ТМС 1, 5	 MR
804	grass	—	green	Accepted	MB	Cognates	Old Slavonic	chur1257	зеленъ	 'green'  — Lithuanian 	green	 	 Buck 520	 MR
805	dry	—	hard, solid	New	MB	Polysemy	Amharic	amha1245	däräḳ	 ''dry, dried, dried-out'' 	''stiff, hard, rigid'' 	 	 (K 1744)	 MB
806	dry	—	having no milk	Accepted	MB	Polysemy	Tigrinya	tigr1271	näḳ̆äṣä	 'to become dry, to dry up' 	'to be dry (cow of milk)' 	 	 (KT 1319).	 MB
807	rough, uneven	—	rude, impolite	Accepted	MB	Polysemy	Classical Arabic	stan1318	ḫašin-, ʔaḫšan-	 ''rough, harsh, coarse'' 	''unpleasant, difficult to cope with'' 	 	 Lane 745. It has been borrowed in Pers. хäшäн 'rough, hard (to touch): rude, severe (person)' ПРС 312.	 MB
808	rough, uneven	→	difficult	New	MB	Polysemy	English	stan1293	rough	 'rough, uneven (surface)' 	'hard, difficult (circumstances)' 	 	 	 MB
809	wine	→	violet, purple	New	MB	Borrowing	Arabic	stan1318	ḫamr-	 ''wine''   Amharic 		 	 Lane 809: K 7. The borrowing was possibly via Ge'ez, where the derivation was like ḫamr > ḫamrāwi (with the adjectival suffix -āwi). However, in Ge'ez both the noun and the adjective are practically out of use (though they are present in the dictionary of a local author). Cf. Also the Arabic ḫamriyy- 'a colour resembling the colour of wine' (Lane 809)	 MB
810	earth	—	red	New	MB	Derivation	Arabic	stan1318	ʕafar-	 'earch, dust'  		 	 BK II 297-98	 MB
811	earth	→	dark (adj.)	New	MB	Derivation	Russian	russ1263	zemlja	 'earth, ground'  		 	 	 MB
812	beeswax	→	yellow	New	MB	Derivation	Syriac	clas1252	šəʕōtā	 'wax'  		 	 Brock. 792. Cf. also šəʕōtāyā 'flavus', šəʕōtānāyā 'yellow' (ibid.). The word for yellow in some modern Aramaic dialects has also been derived from the word meaning wax (but the same root as in Syrian)	 MB
813	white	—	milk	Accepted	MB	Derivation	Amharic	amha1245	wätäte	 ''white, milky in color'' ← 		 	 K 1538-39	 MB
814	egg	—	white	New	MB	Derivation	Arabic	stan1318	bayḍ-	 'egg'  		 	" BK I 184. The word meaning ""egg"" is well present already at the Protosemitic level. It became a colourword either as a result of internal Arabic development path, or it has parallels in Ethiosemitic languages but interestingly means ""yellow""."	 MB
815	white	—	poplar (Populus alba)	New	MB	Derivation	Syriac	clas1252	ḥewwārā	 'white'  		 	 Brock. 223	 MB
816	brilliant, glaring	—	moon	Accepted	MB	Derivation	Classical Arabic	stan1318	hall-	 'shining, clean, white (cloth)' → 		 	 BK II 1434-35: Cf. alos ʔihtalla 'to shine' (ibid.)	 MB
817	taste	—	aesthetic perception	Accepted	MB	Polysemy	Russian	russ1263	vkus	 'taste' 	'taste' 	 	 	 MB
818	to taste	—	to check, test	New	MB	Polysemy	Russian	russ1263	probovat'	 'to taste' 	'to subject to a test' 	 	 Cp. also such derivatives as опробовать 'to subject to a test, to use for the first time'	 MB
819	to tread	—	to oppress	New	MB	Polysemy	Akkadian	akka1240	darāsu	 ''to trample upon'' 	''to press hard, to treat harshly'' 	 	 (CAD D 110-11)	 MB
